שאלה,תשובות,תשובה נכונה,שם המושג בקובץ הלימוד,הסבר המושג (לפי חומר הלימוד),שם הפרק
מהו המסמך ששלח שר החוץ הבריטי ללורד רוטשילד ב-1917?,הצהרת בלפור / כתב המנדט / החלטה 181,הצהרת בלפור,הצהרת בלפור,מכתב המודיע על החלטת ממשלת בריטניה לקדם הקמת בית לאומי לעם היהודי בארץ ישראל.,רקע היסטורי והכרזת העצמאות
"איזה מסמך מודיע על החלטת בריטניה לקדם הקמת ""בית לאומי"" ליהודים?",הצהרת בלפור / כתב המנדט / החלטה 181,הצהרת בלפור,הצהרת בלפור,מכתב המודיע על החלטת ממשלת בריטניה לקדם הקמת בית לאומי לעם היהודי בארץ ישראל.,רקע היסטורי והכרזת העצמאות
"אם מדינה הייתה מתנגדת לזכותנו ב-1917, באיזה מסמך היינו משתמשים כהוכחה?",הצהרת בלפור / כתב המנדט / החלטה 181,הצהרת בלפור,הצהרת בלפור,מכתב המודיע על החלטת ממשלת בריטניה לקדם הקמת בית לאומי לעם היהודי בארץ ישראל.,רקע היסטורי והכרזת העצמאות
מי העניק לבריטניה את ההסמכה הרשמית לשלוט בארץ ב-1922?,"האו""ם / חבר הלאומים / ארה""כ",חבר הלאומים,כתב המנדט,הסמכה לבריטניה על ידי חבר הלאומים ב-1922 להקמת בית לאומי לעם היהודי בארץ ישראל.,רקע היסטורי והכרזת העצמאות
איזה מסמך מדגיש את החובה לשמור על זכויות הלא-יהודים בארץ?,הצהרת בלפור / כתב המנדט / החלטה 181,כתב המנדט,כתב המנדט,המנדט מדגיש את הצורך לשמור את הזכויות האזרחיות והדתיות של לא-יהודים בארץ ישראל.,רקע היסטורי והכרזת העצמאות
"בתלונה על פגיעה בזכויות דתיות ב-1930, על איזה מסמך היו מסתמכים?",הצהרת בלפור / כתב המנדט / החלטה 181,כתב המנדט,כתב המנדט,המנדט מדגיש את הצורך לשמור את הזכויות האזרחיות והדתיות של לא-יהודים בארץ ישראל.,רקע היסטורי והכרזת העצמאות
"מה הוחלט בכ""ט בנובמבר 1947 בעצרת האו""ם?",הקמת מדינה יהודית וערבית / סיום המנדט / מדינה אחת,הקמת מדינה יהודית וערבית,החלטה 181 - תכנית החלוקה,"החלטה להקים בתוך החלק שנותר מן המנדט בארץ ישראל המערבית, מדינה יהודית ומדינה ערבית.",רקע היסטורי והכרזת העצמאות
איזה מושג מתאר את חלוקת הארץ למדינה יהודית ומדינה ערבית?,תכנית החלוקה / הצהרת בלפור / הכרזת העצמאות,תכנית החלוקה,החלטה 181 - תכנית החלוקה,"החלטה להקים בתוך החלק שנותר מן המנדט בארץ ישראל המערבית, מדינה יהודית ומדינה ערבית.",רקע היסטורי והכרזת העצמאות
ההנהגה היהודית קיבלה את התוכנית והערבית דחתה אותה - מה קרה מיד?,"החלו פעולות איבה / הוקמה המדינה / הגיעו כוחות או""ם",החלו פעולות איבה,החלטה 181 - תכנית החלוקה,ההנהגה היהודית קיבלה את התכנית. הערבית דחתה אותה והחלו פעולות איבה (השלב הראשון של המלחמה).,רקע היסטורי והכרזת העצמאות
"""בארץ ישראל קם העם היהודי"" - לאיזו סוג הצדקה משפט זה שייך?",היסטורית / משפטית / טבעית,היסטורית,הצדקות היסטוריות,"הצדקות הקשורות לאירועים היסטוריים כמו הקשר העתיק לארץ ויצירת התנ""ך בה.",רקע היסטורי והכרזת העצמאות
